x,y,sigma_xx,sigma_yy,sigma_xy,u_x,u_y,load_value
0.2857142857142857,0.0,6342434.03619374,-37124581.41235273,353995.20026953553,0.0002923230182697248,0.0,75000000.0
0.32653061224489793,0.0,6862123.663116194,-19648460.518626925,-1105413.8056034194,0.0002951865138516291,0.0,75000000.0
0.36734693877551017,0.0,13955424.558352811,-9313262.129887251,-1495880.3267231311,0.00029809770932272164,0.0,75000000.0
0.4081632653061224,0.0,21950929.563469198,-3848601.7591906535,-1519377.0561097898,0.00030215952714154974,0.0,75000000.0
0.44897959183673464,0.0,29143826.162709583,-1035358.2831528069,-1364303.5402698535,0.00030750775560390214,0.0,75000000.0
0.4897959183673469,0.0,35459974.89284083,509340.9736325827,-1227693.7730880114,0.00031410744295162866,0.0,75000000.0
0.5306122448979591,0.0,40737628.833301514,1351502.8573075014,-1127655.0511029682,0.0003218238164288355,0.0,75000000.0
0.5714285714285714,0.0,44871688.82654126,1625461.8701130315,-1041456.0529248882,0.0003304782870753181,0.0,75000000.0
0.6122448979591836,0.0,48819557.34233093,1839782.961597582,-929246.3021129307,0.0003399246148619477,0.0,75000000.0
0.6530612244897959,0.0,51978843.861955546,1931628.7883794673,-818249.0489567375,0.0003501114918320896,-3.1821071560713996e-22,75000000.0
0.6938775510204082,0.0,54661437.74188552,1887292.57032264,-821641.7100786229,0.0003608782585451375,0.0,75000000.0
0.7346938775510203,0.0,57066701.00596206,1833352.9226405756,-696481.2419045381,0.0003721781685967806,0.0,75000000.0
0.7755102040816326,0.0,59001608.392244525,1770072.1055201269,-598898.748789647,0.00038388758219679063,0.0,75000000.0
0.8163265306122448,0.0,60766122.6397578,1751881.6258405996,-563200.3939465915,0.00039600564302712346,0.0,75000000.0
0.8571428571428571,0.0,62314653.102664806,1737122.6247163706,-497994.008871553,0.0004084713174739106,-2.6327366976967235e-22,75000000.0
0.8979591836734693,0.0,63619444.434271395,1684958.5028158815,-453645.77025258186,0.0004212215137602252,0.0,75000000.0
