x,y,sigma_xx,sigma_yy,sigma_xy,u_x,u_y,load_value
0.0,0.0,2769586.9314056886,2768971.245926552,1100396.421216981,0.0,0.0,2000000.0
0.061224489795918366,0.0,3034572.8944085217,2223664.0198739823,654498.9902702819,7.380851920261147e-07,4.779469483469195e-07,2000000.0
0.12244897959183673,0.0,2804497.6216452494,2100256.2508232724,217299.0886876855,1.527208508164608e-06,7.059865031369702e-07,2000000.0
0.18367346938775508,0.0,2455250.0733185476,2031279.2654160797,75020.84469717632,2.1323817944073444e-06,8.633618670834238e-07,2000000.0
0.24489795918367346,0.0,2323490.6726959087,2009947.9519390776,36374.47888133801,2.6714002881521463e-06,9.735239350890594e-07,2000000.0
0.30612244897959184,0.0,2243231.633673025,2004249.709759682,20738.720455216615,3.1798141171277646e-06,1.0454890019708495e-06,2000000.0
0.36734693877551017,0.0,2195776.1782862437,2003282.4164734904,12756.656609476036,3.670689050337296e-06,1.09913229732026e-06,2000000.0
0.42857142857142855,0.0,2164441.2737837387,2001784.590959881,7999.053154066851,4.150937147530842e-06,1.1360748902262234e-06,2000000.0
0.4897959183673469,0.0,2143679.010274391,2001645.2527866708,5060.884937728305,4.623817097561369e-06,1.1595893175736497e-06,2000000.0
0.5510204081632653,0.0,2133905.4248623867,2001314.0354611885,2567.714337925141,5.091668900009206e-06,1.1687442506473508e-06,2000000.0
0.6122448979591837,0.0,2130862.270451137,2001265.620280014,60.37140941658845,5.557817706139131e-06,1.1651200580373626e-06,2000000.0
0.673469387755102,0.0,2132754.651587878,2001331.5948472973,-2622.581404314856,6.023844147075516e-06,1.149859355927817e-06,2000000.0
0.7346938775510203,0.0,2142558.2521925797,2001264.3372628721,-4781.851872419482,6.49153663346732e-06,1.1229629754114225e-06,2000000.0
0.7959183673469388,0.0,2159915.994164227,2001535.7983769556,-7429.578618331423,6.963906410927281e-06,1.0837686359734502e-06,2000000.0
0.8571428571428571,0.0,2185272.2428846518,2001266.120327999,-10091.109630949268,7.442952875335071e-06,1.032972786497881e-06,2000000.0
0.9183673469387755,0.0,2217632.5547034913,2001039.4541739305,-12495.969157125719,7.93066141428965e-06,9.720793097264423e-07,2000000.0
0.9795918367346939,0.0,2256837.9330399125,2001115.9612578435,-14500.049370935247,8.42924998891424e-06,9.02004518830739e-07,2000000.0
1.0408163265306123,0.0,2306065.863852803,2001448.8648264809,-17417.107973804534,8.943819225097507e-06,8.239573814784875e-07,2000000.0
1.1020408163265305,0.0,2363278.7923179767,2000499.7223635076,-19074.033968759657,9.473799759144967e-06,7.411261022823269e-07,2000000.0
1.163265306122449,0.0,2423612.733310688,1999574.6432180037,-18520.898349546394,1.0023052757726473e-05,6.566659380264435e-07,2000000.0
1.2244897959183674,0.0,2486180.6269407705,1999683.9414718281,-17615.535311449272,1.0591555681716543e-05,5.753411124759031e-07,2000000.0
1.2857142857142856,0.0,2544967.462394474,1998787.580287239,-16110.723380662734,1.1180122022635717e-05,5.0150809298367e-07,2000000.0
1.346938775510204,0.0,2598199.2113799206,1998010.2366486888,-12378.627885445361,1.17858476016925e-05,4.391701593397346e-07,2000000.0
1.4081632653061225,0.0,2635172.046472742,1998029.11403171,-7463.779621486537,1.2407265193281052e-05,3.95955678523063e-07,2000000.0
1.4693877551020407,0.0,2651109.15219944,1997827.526064304,-4035.4629440275808,1.3037673475457464e-05,3.722650323685762e-07,2000000.0
1.530612244897959,0.0,2654973.110433958,1997764.9344798226,2764.6164016533953,1.3671090964100298e-05,3.7279434497596944e-07,2000000.0
1.5918367346938775,0.0,2634842.1628985954,1997953.6589522199,8156.087432609092,1.4301215243994446e-05,3.966512371013545e-07,2000000.0
1.653061224489796,0.0,2597643.336897874,1998226.8114827664,12853.543050466495,1.492255537423716e-05,4.404509897049201e-07,2000000.0
1.7142857142857142,0.0,2545620.1572791417,1998852.635355097,15950.355531752906,1.5528262508386537e-05,5.029819891742842e-07,2000000.0
1.7755102040816326,0.0,2486011.571863672,1999306.1924101866,17916.886023282415,1.611692678165397e-05,5.773817522157383e-07,2000000.0
1.836734693877551,0.0,2423789.9427651106,1999935.8144056178,18219.179619564104,1.6685291489125392e-05,6.598774784620031e-07,2000000.0
1.8979591836734693,0.0,2362499.61894485,2000256.4534177328,17206.08742862321,1.7234344823977977e-05,7.445067574810841e-07,2000000.0
1.9591836734693877,0.0,2307156.5834491923,2000961.6867495785,15925.994304292395,1.7764207051256858e-05,8.283221727412861e-07,2000000.0
2.020408163265306,0.0,2252731.057663112,2001442.5529814998,13030.039695545467,1.8278492027670784e-05,9.066786493177224e-07,2000000.0
2.0816326530612246,0.0,2218094.7936804914,2001147.1652644721,12517.838008890127,1.877652858239587e-05,9.781333843233813e-07,2000000.0
2.142857142857143,0.0,2184240.972317769,2000882.5676733581,10393.566518845637,1.926416102935974e-05,1.0392755866180625e-06,2000000.0
2.204081632653061,0.0,2161373.6782272677,2001398.911644541,8825.962921742477,1.9742720185231e-05,1.0907463858910694e-06,2000000.0
2.2653061224489797,0.0,2143477.984775753,2001604.9247799371,5108.8309462687275,2.0215560791401786e-05,1.1301575692682286e-06,2000000.0
2.326530612244898,0.0,2132139.294426941,2001554.9604576696,2162.9376174009817,2.0683338518175854e-05,1.1576495680469768e-06,2000000.0
2.387755102040816,0.0,2129512.96399884,2001337.3288431154,-156.62999045085326,2.114893964750484e-05,1.1733617479644354e-06,2000000.0
2.4489795918367347,0.0,2133761.465824715,2001344.018597742,-2756.534603066559,2.1614999838361908e-05,1.1772378369686334e-06,2000000.0
2.510204081632653,0.0,2143685.6530067245,2001585.2614325765,-5204.646166322934,2.2083033693544633e-05,1.168715138682938e-06,2000000.0
2.571428571428571,0.0,2164546.2652618196,2002051.214609161,-8239.100439748136,2.2555911642774037e-05,1.1460701882837459e-06,2000000.0
2.63265306122449,0.0,2193624.9296914735,2003554.82525628,-12447.094190994574,2.3035859159975124e-05,1.1088604747441115e-06,2000000.0
2.693877551020408,0.0,2242856.408946062,2004779.0368592697,-19595.24328798984,2.35266788917806e-05,1.0553907997011631e-06,2000000.0
2.7551020408163263,0.0,2318437.5306437975,2009224.5774942255,-34231.23110426306,2.403394214876348e-05,9.821897133418118e-07,2000000.0
2.816326530612245,0.0,2465422.2120895493,2030348.978299691,-76382.80636414398,2.4574832096415902e-05,8.755031564235526e-07,2000000.0
2.877551020408163,0.0,2784494.8615327813,2106165.6142371395,-219100.5098126353,2.5183005517070727e-05,7.183093995136898e-07,2000000.0
2.9387755102040813,0.0,2993162.7537049484,2233242.5028273156,-645213.0780142378,2.595752314603794e-05,4.92152685520796e-07,2000000.0
3.0,0.0,2780554.5345678236,2780819.2309549665,-1091219.1717132507,2.6690852001442373e-05,0.0,2000000.0
0.0,0.030612244897959183,2456039.955914974,2913461.228184319,880883.9069397643,2.862155678069605e-07,3.556471135855401e-07,2000000.0
0.061224489795918366,0.030612244897959183,2789418.2196467137,2350712.3169062897,608556.7360977305,8.396258464734146e-07,6.66110218755446e-07,2000000.0
0.12244897959183673,0.030612244897959183,2659682.5808070204,2115440.028522287,238644.5432986158,1.5058113873743553e-06,9.033006502748552e-07,2000000.0
0.18367346938775508,0.030612244897959183,2440692.193704541,2046930.9971248675,110755.50053731119,2.0959257958510273e-06,1.0622082082739882e-06,2000000.0
0.24489795918367346,0.030612244897959183,2331214.995874699,2014285.0429685079,57935.988848614856,2.63923681732758e-06,1.1721808491739897e-06,2000000.0
0.30612244897959184,0.030612244897959183,2255018.6476322357,2008025.9814427067,35955.919124160166,3.1558630409246774e-06,1.249488579310057e-06,2000000.0
0.36734693877551017,0.030612244897959183,2208171.9905102,2005382.9046207955,22621.980057970202,3.6535101184977486e-06,1.305811035732164e-06,2000000.0
0.42857142857142855,0.030612244897959183,2175308.7333495086,2003421.2573541137,14681.189816651337,4.138788775212573e-06,1.34316699319279e-06,2000000.0
0.4897959183673469,0.030612244897959183,2155833.526028568,2002856.3753875266,9313.529603252631,4.617286088358458e-06,1.3667073914525e-06,2000000.0
0.5510204081632653,0.030612244897959183,2144836.8638024423,2002174.4978981712,4364.860294639383,5.0915279444314346e-06,1.3770468465801612e-06,2000000.0
0.6122448979591837,0.030612244897959183,2141470.836628664,2002625.1740402568,344.01144686711683,5.562646328763591e-06,1.3740756976049665e-06,2000000.0
0.673469387755102,0.030612244897959183,2143277.8649520935,2002337.6161245303,-3910.8974945753844,6.0331132306394495e-06,1.3588072030771238e-06,2000000.0
0.7346938775510203,0.030612244897959183,2152918.678165864,2002270.8855484661,-7960.64201916261,6.506532976914045e-06,1.330335911499413e-06,2000000.0
0.7959183673469388,0.030612244897959183,2170052.601718228,2002372.0212766838,-12622.946688407417,6.983928359911828e-06,1.2906054251250882e-06,2000000.0
0.8571428571428571,0.030612244897959183,2193447.7330043027,2002369.3886571783,-17967.026725393953,7.467055595963611e-06,1.239232024740913e-06,2000000.0
0.9183673469387755,0.030612244897959183,2224765.7250494547,2002309.3317243701,-21160.04189002605,7.958661735856604e-06,1.177006609812333e-06,2000000.0
0.9795918367346939,0.030612244897959183,2263157.952578249,2001948.8979605557,-24936.51381875328,8.461962951476356e-06,1.1041725266023696e-06,2000000.0
1.0408163265306123,0.030612244897959183,2311565.7284385227,2001572.1245352586,-29283.98471154218,8.977472730109344e-06,1.0245705484683925e-06,2000000.0
1.1020408163265305,0.030612244897959183,2363359.606002506,2000836.6982092857,-33280.33220382902,9.509309400968699e-06,9.388591927748856e-07,2000000.0
1.163265306122449,0.030612244897959183,2420007.6511101373,1999947.3326283682,-32642.331265745925,1.0058009699058657e-05,8.513692068794625e-07,2000000.0
1.2244897959183674,0.030612244897959183,2478848.684385661,1999190.782447984,-31686.198671950533,1.0624708921883614e-05,7.67426823333384e-07,2000000.0
1.2857142857142856,0.030612244897959183,2533535.888911328,1997334.916500154,-29991.608021267904,1.1207752954831886e-05,6.900895219549869e-07,2000000.0
1.346938775510204,0.030612244897959183,2581565.1470821365,1997171.2071959963,-22915.29813594373,1.1808814363492349e-05,6.266429100739047e-07,2000000.0
1.4081632653061225,0.030612244897959183,2617366.2776335888,1996032.884827144,-14910.015331279326,1.2421145562569146e-05,5.803428175826645e-07,2000000.0
1.4693877551020407,0.030612244897959183,2632880.828182012,1995266.5533331062,-6318.378285354929,1.3041897067518651e-05,5.568238438874774e-07,2000000.0
1.530612244897959,0.030612244897959183,2635334.04525875,1995287.8388004713,5158.07791099054,1.3666129530974763e-05,5.570694739780951e-07,2000000.0
1.5918367346938775,0.030612244897959183,2617517.5772753446,1995965.6172626028,14862.841833538509,1.4287085538633665e-05,5.808986421916941e-07,2000000.0
1.653061224489796,0.030612244897959183,2581514.162231475,1996814.804973111,22960.73196533662,1.4899559677576061e-05,6.279229804718631e-07,2000000.0
1.7142857142857142,0.030612244897959183,2534247.68071999,1997795.8582210294,28850.953964195007,1.5499827855636584e-05,6.919130100420876e-07,2000000.0
1.7755102040816326,0.030612244897959183,2478343.2071759007,1999273.4248471754,32137.69239063537,1.6083368634754437e-05,7.695220374059236e-07,2000000.0
1.836734693877551,0.030612244897959183,2419887.112800892,2000217.0988869413,32353.72361337245,1.6649757317437357e-05,8.546406810442887e-07,2000000.0
1.8979591836734693,0.030612244897959183,2362304.8628502684,2000771.0024847842,30838.484542014445,1.719788768397698e-05,9.422434619419997e-07,2000000.0
1.9591836734693877,0.030612244897959183,2311458.747671676,2001854.8904903424,28938.158843224526,1.7729303898533985e-05,1.0286724783988114e-06,2000000.0
2.020408163265306,0.030612244897959183,2262641.0771396672,2001825.821140694,24093.07500470808,1.8244469629684516e-05,1.1091297280326082e-06,2000000.0
2.0816326530612246,0.030612244897959183,2225052.931954901,2001756.0051143866,21606.52023360324,1.8748715588387344e-05,1.1831337517816349e-06,2000000.0
2.142857142857143,0.030612244897959183,2192194.3925489904,2002027.8693292262,16850.821422167617,1.92398144266643e-05,1.2455950358484666e-06,2000000.0
2.204081632653061,0.030612244897959183,2170594.0277155875,2002821.5219402814,13542.259062967358,1.9723088106588642e-05,1.2974832258534356e-06,2000000.0
2.2653061224489797,0.030612244897959183,2153721.218576854,2002873.2641658024,8620.012018067475,2.0200380383885546e-05,1.337602926977143e-06,2000000.0
2.326530612244898,0.030612244897959183,2142810.2317280797,2002372.73431515,3498.6548453812984,2.0673535121339733e-05,1.366390408786829e-06,2000000.0
2.387755102040816,0.030612244897959183,2140158.5553431413,2002339.308508974,-43.20321699598584,2.1143649484490336e-05,1.3824497144219431e-06,2000000.0
2.4489795918367347,0.030612244897959183,2144451.230368102,2002386.8402127316,-4432.291310105292,2.1615043575498728e-05,1.3853635143297786e-06,2000000.0
2.510204081632653,0.030612244897959183,2155874.213844531,2002492.500549264,-9103.760010793523,2.208910804356212e-05,1.375792840367794e-06,2000000.0
2.571428571428571,0.030612244897959183,2176028.7216748833,2002429.4367174422,-14996.010612977187,2.256765054961513e-05,1.3531121758194394e-06,2000000.0
2.63265306122449,0.030612244897959183,2207221.5688600503,2003227.0809610132,-20748.06936427338,2.3054177602680694e-05,1.3156378429155935e-06,2000000.0
2.693877551020408,0.030612244897959183,2255376.3926668093,2009421.8140478842,-36094.945485597025,2.355058167759506e-05,1.2593197842723551e-06,2000000.0
2.7551020408163263,0.030612244897959183,2329060.631115777,2017333.3849256886,-58853.25332006486,2.406722885527006e-05,1.1814236568877959e-06,2000000.0
2.816326530612245,0.030612244897959183,2450556.918870561,2039784.1883841585,-109001.17004466975,2.4610578016992403e-05,1.0731587386456875e-06,2000000.0
2.877551020408163,0.030612244897959183,2660614.1422851156,2123275.077103873,-242862.94975240537,2.520375582137351e-05,9.163181519945417e-07,2000000.0
2.9387755102040813,0.030612244897959183,2779885.015845665,2341110.615112976,-598956.7837678904,2.586948958965364e-05,6.849907739463822e-07,2000000.0
3.0,0.030612244897959183,2471422.2566572987,2931543.300887922,-872535.2913380696,2.6419653408784885e-05,3.5593717022504024e-07,2000000.0
0.0,0.061224489795918366,2234466.885897377,2993904.373466208,645971.0091434006,5.127609643589233e-07,7.345157406499385e-07,2000000.0
0.061224489795918366,0.061224489795918366,2504965.317812948,2535232.3682016833,450831.7770166447,9.53008297243026e-07,9.306200913044884e-07,2000000.0
0.12244897959183673,0.061224489795918366,2535769.2808434395,2198985.311292874,285576.4468924542,1.5145637884079906e-06,1.1096354943689669e-06,2000000.0
0.18367346938775508,0.061224489795918366,2424437.1086516557,2076893.1584713338,154622.92073313554,2.0809811697058925e-06,1.264145206814635e-06,2000000.0
0.24489795918367346,0.061224489795918366,2329239.1464625,2034897.2253639847,95658.55895374516,2.6208123417227386e-06,1.3726896049945223e-06,2000000.0
0.30612244897959184,0.061224489795918366,2262728.2860260583,2016372.556808208,58419.380399117326,3.139912728526258e-06,1.4533754141793663e-06,2000000.0
0.36734693877551017,0.061224489795918366,2218939.803726537,2009904.4349016892,38523.8574107023,3.6414671789836364e-06,1.5108450262203561e-06,2000000.0
