x,y,sigma_xx,sigma_yy,sigma_xy,u_x,u_y,load_value
0.0,0.0,6923967.328514431,6922428.114816437,2750991.0530425394,0.0,0.0,5000000.0
0.061224489795918366,0.0,7586432.236021481,5559160.049684965,1636247.475675746,1.8452129800653719e-06,1.1948673708672635e-06,5000000.0
0.12244897959183673,0.0,7011244.054113232,5250640.627058184,543247.721719231,3.81802127041165e-06,1.7649662578423702e-06,5000000.0
0.18367346938775508,0.0,6138125.183296448,5078198.163540202,187552.11174294903,5.33095448601852e-06,2.158404667708492e-06,5000000.0
0.24489795918367346,0.0,5808726.681739838,5024869.879847695,90936.19720334883,6.678500720380548e-06,2.433809837722573e-06,5000000.0
0.30612244897959184,0.0,5608079.084182617,5010624.274399207,51846.80113804374,7.949535292819613e-06,2.613722504927044e-06,5000000.0
0.36734693877551017,0.0,5489440.445715652,5008206.041183726,31891.641523692746,9.176722625843454e-06,2.747830743300568e-06,5000000.0
0.42857142857142855,0.0,5411103.184459376,5004461.4773996975,19997.63288516827,1.0377342868827332e-05,2.840187225565473e-06,5000000.0
0.4897959183673469,0.0,5359197.525686004,5004113.131966676,12652.212344323521,1.1559542743903659e-05,2.898973293934037e-06,5000000.0
0.5510204081632653,0.0,5334763.562155986,5003285.088652967,6419.285844814657,1.272917225002326e-05,2.9218606266182905e-06,5000000.0
0.6122448979591837,0.0,5327155.676127867,5003164.050700029,150.9285235411453,1.3894544265348083e-05,2.9128001450933188e-06,5000000.0
0.673469387755102,0.0,5331886.628969723,5003328.987118242,-6556.453510786311,1.5059610367689052e-05,2.8746483898194523e-06,5000000.0
0.7346938775510203,0.0,5356395.630481468,5003160.843157178,-11954.629681043765,1.622884158366857e-05,2.8074074385284673e-06,5000000.0
0.7959183673469388,0.0,5399789.985410594,5003839.4959423905,-18573.946545828276,1.7409766027318477e-05,2.709421589933536e-06,5000000.0
0.8571428571428571,0.0,5463180.607211664,5003165.3008200005,-25227.774077375718,1.8607382188337964e-05,2.582431966244609e-06,5000000.0
0.9183673469387755,0.0,5544081.38675873,5002598.635434831,-31239.9228928126,1.9826653535724418e-05,2.4301982743160097e-06,5000000.0
0.9795918367346939,0.0,5642094.832599765,5002789.903144601,-36250.12342734166,2.107312497228589e-05,2.2550112970767495e-06,5000000.0
1.0408163265306123,0.0,5765164.6596320225,5003622.162066201,-43542.76993450926,2.235954806274406e-05,2.0598934536961156e-06,5000000.0
1.1020408163265305,0.0,5908196.980794936,5001249.305908773,-47685.084921899725,2.3684499397862713e-05,1.8528152557057098e-06,5000000.0
1.163265306122449,0.0,6059031.833276726,4998936.608045019,-46302.24587387051,2.5057631894316475e-05,1.6416648450659995e-06,5000000.0
1.2244897959183674,0.0,6215451.567351955,4999209.853679574,-44038.83827862901,2.6478889204291667e-05,1.438352781189662e-06,5000000.0
1.2857142857142856,0.0,6362418.655986184,4996968.950718088,-40276.808451648445,2.7950305056589596e-05,1.2537702324590783e-06,5000000.0
1.346938775510204,0.0,6495498.028449801,4995025.591621713,-30946.56971361597,2.9464619004231557e-05,1.097925398349243e-06,5000000.0
1.4081632653061225,0.0,6587930.1161818225,4995072.78507928,-18659.449053730343,3.101816298320293e-05,9.898891963075664e-07,5000000.0
1.4693877551020407,0.0,6627772.880498561,4994568.8151607625,-10088.657360070092,3.2594183688643946e-05,9.306625809213474e-07,5000000.0
1.530612244897959,0.0,6637432.776084911,4994412.336199569,6911.541004131557,3.417772741025103e-05,9.319858624398299e-07,5000000.0
1.5918367346938775,0.0,6587105.407246487,4994884.147380567,20390.21858153107,3.575303810998641e-05,9.91628092753293e-07,5000000.0
1.653061224489796,0.0,6494108.342244681,4995567.0287069315,32133.857626167035,3.7306388435593184e-05,1.101127474262209e-06,5000000.0
1.7142857142857142,0.0,6364050.393197902,4997131.588387758,39875.88882938176,3.882065627096663e-05,1.257454972935619e-06,5000000.0
1.7755102040816326,0.0,6215028.929659214,4998265.481025476,44792.215058218375,4.029231695413522e-05,1.4434543805392554e-06,5000000.0
1.836734693877551,0.0,6059474.856912803,4999839.536014043,45547.94904891072,4.1713228722813786e-05,1.6496936961549196e-06,5000000.0
1.8979591836734693,0.0,5906249.04736213,5000641.13354432,43015.21857157867,4.3085862059945257e-05,1.8612668937026286e-06,5000000.0
1.9591836734693877,0.0,5767891.458622975,5002404.216873947,39814.98576074957,4.4410517628142453e-05,2.070805431853138e-06,5000000.0
2.020408163265306,0.0,5631827.644157789,5003606.382453749,32575.099238857412,4.569623006917727e-05,2.2666966232942194e-06,5000000.0
2.0816326530612246,0.0,5545236.984201233,5002867.913161194,31294.59502222397,4.694132145599e-05,2.4453334608083557e-06,5000000.0
2.142857142857143,0.0,5460602.430794416,5002206.419183412,25983.916297143387,4.816040257339966e-05,2.598188966545054e-06,5000000.0
2.204081632653061,0.0,5403434.195568233,5003497.279111365,22064.90730436989,4.935680046307781e-05,2.72686596472758e-06,5000000.0
2.2653061224489797,0.0,5358694.9619394,5004012.311949835,12772.077365657127,5.0538901978504815e-05,2.82539392317048e-06,5000000.0
2.326530612244898,0.0,5330348.236067391,5003887.401144171,5407.344043505734,5.170834629543997e-05,2.894123920117348e-06,5000000.0
2.387755102040816,0.0,5323782.409997152,5003343.322107825,-391.5749761378694,5.2872349118762455e-05,2.9334043699109863e-06,5000000.0
2.4489795918367347,0.0,5334403.6645618295,5003360.046494376,-6891.336507673398,5.403749959590512e-05,2.943094592421484e-06,5000000.0
2.510204081632653,0.0,5359214.132516829,5003963.15358144,-13011.61541580803,5.520758423386195e-05,2.9217878467072504e-06,5000000.0
2.571428571428571,0.0,5411365.663154513,5005128.036522883,-20597.751099364512,5.638977910693546e-05,2.865175470709282e-06,5000000.0
2.63265306122449,0.0,5484062.324228664,5008887.063140689,-31117.735477487047,5.7589647899938154e-05,2.7721511868601942e-06,5000000.0
2.693877551020408,0.0,5607141.022365149,5011947.592148165,-48988.10821997485,5.881669722945185e-05,2.638476999252817e-06,5000000.0
2.7551020408163263,0.0,5796093.826609522,5023061.4437355595,-85578.07776065439,6.0084855371909055e-05,2.4554742833544444e-06,5000000.0
2.816326530612245,0.0,6163555.530223891,5075872.445749215,-190957.0159103778,6.143708024104013e-05,2.1887578910588005e-06,5000000.0
2.877551020408163,0.0,6961237.153832011,5265414.035592846,-547751.2745316146,6.295751379267721e-05,1.7957734987841541e-06,5000000.0
2.9387755102040813,0.0,7482906.884262435,5583106.257068279,-1613032.695035573,6.489380786509524e-05,1.230381713801939e-06,5000000.0
3.0,0.0,6951386.336419559,6952048.077387343,-2728047.9292830667,6.672713000360634e-05,0.0,5000000.0
0.0,0.030612244897959183,6140099.889787539,7283653.070460839,2202209.7673494704,7.155389195174793e-07,8.891177839638568e-07,5000000.0
0.061224489795918366,0.030612244897959183,6973545.549116906,5876780.792265743,1521391.8402443705,2.0990646161836494e-06,1.665275546888573e-06,5000000.0
0.12244897959183673,0.030612244897959183,6649206.452017635,5288600.071305723,596611.3582465599,3.7645284684360327e-06,2.2582516256870786e-06,5000000.0
0.18367346938775508,0.030612244897959183,6101730.484261419,5117327.492812172,276888.75134328974,5.239814489627736e-06,2.655520520684899e-06,5000000.0
